initial_alias,converted_alias,name,description,contrast,contrast_ID
LOC110058532,110058532,LOC110058532,interferon alpha-inducible protein 27-like protein 2A,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110056835,110056835,LOC110056835,"ZP domain-containing protein-like, transcript variant X2",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110065742,110065742,LOC110065742,cullin-3-like,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110051817,110051817,LOC110051817,uncharacterized LOC110051817,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110057625,110057625,LOC110057625,"uncharacterized LOC110057625, transcript variant X1",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110048196,110048196,LOC110048196,"uncharacterized LOC110048196, transcript variant X3",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110049565,110049565,LOC110049565,uncharacterized LOC110049565,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110044094,110044094,LOC110044094,peptidyl-prolyl cis-trans isomerase-like,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110060341,110060341,LOC110060341,"uncharacterized LOC110060341, transcript variant X1",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110045255,110045255,LOC110045255,"uncharacterized LOC110045255, transcript variant X2",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110048679,110048679,LOC110048679,uncharacterized LOC110048679,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110053162,110053162,LOC110053162,"uncharacterized LOC110053162, transcript variant X2",5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110043897,110043897,LOC110043897,gelsolin-like protein 2,5,SCTLD_affected_Some_vs_SCTLD_affected_High
LOC110051957,110051957,LOC110051957,non-structural maintenance of chromosomes element 1 homolog,5,SCTLD_affected_Some_vs_SCTLD_affected_High
